iter	Passed	Remaining
0	30	30041
1	46	23278
2	273	90872
3	510	127143
4	762	151763
5	993	164517
6	1091	154877
7	1244	154299
8	1291	142204
9	1423	140935
10	1634	146920
11	1827	150454
12	2074	157513
13	2210	155664
14	2426	159345
15	2636	162122
16	2849	164764
17	3060	166990
18	3109	160542
19	3266	160041
20	3617	168638
21	3854	171360
22	4107	174473
23	4312	175375
24	4531	176738
25	4760	178341
26	4962	178833
27	5157	179055
28	5383	180267
29	5631	182083
30	5840	182561
31	6052	183102
32	6242	182919
33	6463	183649
34	6684	184293
35	6910	185049
36	7209	187643
37	7441	188385
38	7705	189875
39	7862	188708
40	8067	188710
41	8272	188681
42	8632	192115
43	8867	192661
44	9067	192429
45	9276	192392
46	9501	192660
47	9741	193198
48	9962	193363
49	10188	193581
50	10393	193393
51	10645	194084
52	10858	194018
53	11085	194195
54	11297	194109
55	11510	194038
56	11729	194048
57	11963	194298
58	12186	194365
59	12458	195182
60	12689	195337
61	12957	196035
62	13206	196420
63	13594	198820
64	13832	198978
65	14035	198628
66	14286	198943
67	14552	199452
68	14758	199130
69	15042	199852
70	15308	200300
71	15651	201736
72	15984	202980
73	16246	203305
74	16490	203384
75	16739	203511
76	17011	203911
77	17226	203620
78	17465	203613
79	17687	203406
80	17898	203073
81	18127	202939
82	18400	203296
83	18709	204020
84	18926	203736
85	19216	204233
86	19479	204425
87	19773	204928
88	19965	204367
89	20169	203937
90	20426	204041
91	20725	204551
92	21162	206388
93	21529	207504
94	21914	208761
95	22204	209088
96	22591	210310
97	22892	210703
98	23241	211524
99	23825	214430
100	24311	216398
101	24601	216593
102	24944	217239
103	25563	220239
104	25874	220548
105	26240	221314
106	26546	221550
107	27079	223652
108	27524	224991
109	27989	226462
110	28392	227392
111	29086	230617
112	29453	231200
113	29748	231201
114	30112	231736
115	30422	231840
116	30663	231418
117	30896	230939
118	31100	230247
119	31394	230222
120	31633	229802
121	31880	229436
122	32078	228725
123	32302	228198
124	32583	228085
125	32920	228351
126	33219	228348
127	33615	229007
128	33906	228936
129	34233	229103
130	34429	228389
131	34495	226832
132	34765	226629
133	35032	226402
134	35322	226327
135	35564	225940
136	35797	225495
137	36074	225336
138	36315	224947
139	36539	224456
140	36774	224039
141	37045	223836
142	37321	223669
143	37564	223298
144	37795	222861
145	38056	222606
146	38340	222482
147	38684	222698
148	38929	222339
149	39188	222066
150	39492	222045
151	39688	221418
152	39870	220721
153	40094	220261
154	40296	219679
155	40491	219070
156	40741	218756
157	41000	218496
158	41214	217997
159	41481	217778
160	41720	217413
161	41935	216927
162	42199	216694
163	42474	216516
164	42740	216294
165	43034	216210
166	43273	215847
167	43630	216077
168	43869	215710
169	44120	215413
170	44317	214851
171	44544	214434
172	44800	214161
173	45074	213975
174	45372	213896
175	45611	213543
176	45919	213513
177	46179	213256
178	46441	213009
179	46723	212849
180	46935	212376
181	47154	211934
182	47378	211520
183	47613	211153
184	47886	210961
185	48145	210700
186	48347	210196
187	48737	210506
188	49013	210318
189	49227	209863
190	49474	209553
191	49742	209331
192	49930	208776
193	50134	208290
194	50379	207978
195	50578	207475
196	50793	207042
197	51057	206809
198	51255	206310
199	51465	205863
200	51738	205668
201	51934	205168
202	52175	204846
203	52419	204538
204	52657	204210
205	52918	203966
206	53218	203876
207	53433	203459
208	53850	203806
209	54082	203451
210	54331	203164
211	54540	202726
212	54787	202431
213	54925	201734
214	55152	201369
215	55422	201162
216	55694	200963
217	55898	200517
218	56137	200199
219	56360	199823
220	56585	199455
221	56812	199100
222	57025	198695
223	57254	198347
224	57454	197898
225	57733	197725
226	58001	197513
227	58147	196885
228	58548	197120
229	59275	198444
230	60159	200272
231	60679	200869
232	61168	201355
233	61637	201769
234	62288	202769
235	62959	203819
236	63480	204370
237	64098	205222
238	64432	205159
239	64748	205037
240	65145	205168
241	65560	205352
242	65928	205382
243	66302	205430
244	66661	205427
245	67007	205381
246	67434	205580
247	68212	206837
248	69253	208873
249	69735	209205
250	70228	209564
251	70609	209586
252	71095	209915
253	71589	210259
254	72041	210473
255	72613	211032
256	73032	211139
257	73542	211505
258	74119	212054
259	74536	212143
260	75181	212870
261	75602	212957
262	76004	212985
263	76423	213058
264	76848	213146
265	77234	213120
266	77629	213118
267	78051	213186
268	78861	214304
269	79512	214977
270	80061	215367
271	80458	215344
272	80889	215408
273	81324	215480
274	81746	215514
275	82461	216313
276	82932	216462
277	83444	216715
278	84283	217806
279	84821	218111
280	85453	218650
281	86067	219136
282	86549	219279
283	87033	219421
284	87389	219240
285	88106	219958
286	88680	220311
287	89314	220806
288	89704	220692
289	90127	220656
290	90642	220843
291	91187	221098
292	91663	221181
293	91982	220884
294	92433	220900
295	92702	220481
296	92984	220094
297	93240	219646
298	93502	219215
299	93950	219217
300	94226	218817
301	94472	218349
302	94707	217859
303	94926	217331
